id,conversation_id,user_id,timestamp,message,label
1,conv_001,user_01,2024-01-15T10:00:00,Hey how are you doing today?,0
2,conv_001,user_02,2024-01-15T10:01:00,I am fine thanks for asking!,0
3,conv_001,user_01,2024-01-15T10:02:00,You are so stupid and ugly nobody likes you,1
4,conv_001,user_02,2024-01-15T10:03:00,Please stop being mean to me,0
5,conv_001,user_01,2024-01-15T10:04:00,You are a worthless loser go away,1
6,conv_001,user_03,2024-01-15T10:05:00,Everyone hates you just disappear,1
7,conv_002,user_04,2024-01-15T11:00:00,Good morning everyone!,0
8,conv_002,user_05,2024-01-15T11:01:00,Morning! Ready for the game today?,0
9,conv_002,user_04,2024-01-15T11:02:00,You always play terribly you should quit,1
10,conv_002,user_05,2024-01-15T11:03:00,That is really hurtful,0
11,conv_003,user_06,2024-01-15T12:00:00,Can someone help me with homework?,0
12,conv_003,user_07,2024-01-15T12:01:00,Sure what do you need help with?,0
13,conv_003,user_06,2024-01-15T12:02:00,Thanks you are awesome!,0
14,conv_003,user_08,2024-01-15T12:03:00,You are both so dumb you cannot even do homework right,1
15,conv_004,user_09,2024-01-15T13:00:00,I just got a new phone!,0
16,conv_004,user_10,2024-01-15T13:01:00,Oh cool which one?,0
17,conv_004,user_09,2024-01-15T13:02:00,iPhone 15 I love it,0
18,conv_004,user_11,2024-01-15T13:03:00,You are such a show off nobody cares about your stupid phone,1
19,conv_004,user_11,2024-01-15T13:04:00,You are pathetic and disgusting,1
20,conv_004,user_11,2024-01-15T13:05:00,I hate you so much ugly freak go die,1
21,conv_005,user_12,2024-01-15T14:00:00,Did you see the new movie?,0
22,conv_005,user_13,2024-01-15T14:01:00,Yes it was great I loved it!,0
23,conv_005,user_12,2024-01-15T14:02:00,Same the ending was so good,0
24,conv_005,user_14,2024-01-15T14:03:00,You have terrible taste in movies as usual,1
25,conv_005,user_12,2024-01-15T14:04:00,Why are you always so negative?,0
26,conv_005,user_14,2024-01-15T14:05:00,Because you are both idiots who like bad movies,1
27,conv_005,user_14,2024-01-15T14:06:00,Everyone knows you are the worst people in school,1
28,conv_006,user_15,2024-01-15T15:00:00,Beautiful day outside!,0
29,conv_006,user_16,2024-01-15T15:01:00,Yes perfect for a walk,0
30,conv_006,user_17,2024-01-15T15:02:00,Maybe you should walk off a cliff you fat loser,1
31,conv_006,user_15,2024-01-15T15:03:00,That is cruel and wrong,0
32,conv_006,user_17,2024-01-15T15:04:00,Shut up nobody asked you,1
33,conv_007,user_18,2024-01-15T16:00:00,Happy birthday to me!,0
34,conv_007,user_19,2024-01-15T16:01:00,Happy birthday hope you have a great day,0
35,conv_007,user_20,2024-01-15T16:02:00,Happy birthday! Make a wish,0
36,conv_007,user_21,2024-01-15T16:03:00,Who cares about your birthday you loser,1
37,conv_008,user_22,2024-01-15T17:00:00,Can we discuss the project together?,0
38,conv_008,user_23,2024-01-15T17:01:00,Of course lets collaborate,0
39,conv_008,user_22,2024-01-15T17:02:00,Great ideas everyone thank you,0
40,conv_009,user_24,2024-01-15T18:00:00,I am feeling really down today,0
41,conv_009,user_25,2024-01-15T18:01:00,I am sorry to hear that what is wrong?,0
42,conv_009,user_24,2024-01-15T18:02:00,Just having a hard time with school,0
43,conv_009,user_26,2024-01-15T18:03:00,That is because you are too dumb for school,1
44,conv_009,user_26,2024-01-15T18:04:00,You should just drop out you stupid failure,1
45,conv_009,user_26,2024-01-15T18:05:00,You are such a pathetic worthless excuse for a person,1
46,conv_010,user_27,2024-01-15T19:00:00,Nice work on the presentation today!,0
47,conv_010,user_28,2024-01-15T19:01:00,Thank you I worked hard on it,0
48,conv_010,user_27,2024-01-15T19:02:00,It really showed great job team,0
49,conv_010,user_29,2024-01-15T19:03:00,Good work everyone!,0
50,conv_010,user_30,2024-01-15T19:04:00,Agreed well done,0
